"","Country","Area","Waterbody.Type","Date","Ammonia..mg.l.","Biochemical.Oxygen.Demand..mg.l.","Dissolved.Oxygen..mg.l.","Orthophosphate..mg.l.","pH..ph.units.","Temperature..cel.","Nitrogen..mg.l.","Nitrate..mg.l.","CCME_Values","CCME_WQI"
"6333","Ireland","Corrib, Corrib Lower","Lake",2007-02-24,0.038,1.4,4.9725,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"6334","Ireland","Corrib, Corrib Lower","Lake",2009-02-24,0.04,1.4,5.1132857139,0.025,8.2,15.4,0.6,1.3,100,"Excellent"
"6335","Ireland","Corrib, Corrib Lower","Lake",2020-02-24,0.038,1.4,4.9740000003,0.025,8.283333333,17.43333333,0.37,0.365,100,"Excellent"
"6336","Ireland","Corrib, Corrib Lower","Lake",2019-02-25,0.043,1.4,5.15475,0.025,8.183333333,10.28333333,0.746666667,0.743333333,100,"Excellent"
"6337","Ireland","Corrib, Corrib Lower","Lake",2020-02-25,0.038,1.4,4.84875,0.025,8.55,17.33333333,1.422,1.3,93.1956034256321,"Good"
"6338","Ireland","Corrib, Corrib Lower","Lake",2015-02-25,0.038,1.4,11.6841033830144,0.025,8.233333333,15.75,0.705,1.3,100,"Excellent"
"6339","Ireland","Corrib, Corrib Lower","Lake",2019-02-25,0.032833333,1.4,11.6841033830144,0.025,8.283333333,7.25,0.408333333,0.408333333,100,"Excellent"
"6340","Ireland","Corrib, Corrib Lower","Lake",2010-02-26,0.05,1.4,4.8159,0.025,8.12,5.1,1.05,1.3,100,"Excellent"
"6341","Ireland","Corrib, Corrib Lower","Lake",2020-02-26,0.022,1.4,5.0339999997,0.025,8.133333333,8.8,0.426666667,0.426666667,100,"Excellent"
"6342","Ireland","Corrib, Corrib Lower","Lake",2012-02-26,0.038,1.4,4.52025,0.025,8.066666667,11.58333333,0.4,1.3,100,"Excellent"
"6343","Ireland","Corrib, Corrib Lower","Lake",2021-02-26,0.038166667,1.4,11.6841033830144,0.025,8.166666667,13.5,0.215,0.213333333,100,"Excellent"
"6344","Ireland","Corrib, Corrib Lower","Lake",2018-02-26,0.262333333,1.4,11.6841033830144,0.025,8.15,5.75,0.735,0.718333333,100,"Excellent"
"6345","Ireland","Corrib, Corrib Lower","Lake",2017-02-27,0.038,1.4,11.6841033830144,0.033,8.15,7.166666667,0.646666667,0.646666667,100,"Excellent"
"6346","Ireland","Corrib, Corrib Lower","Lake",2019-02-27,0.038,1.4,4.9560000003,0.025,8.3,15.43333333,0.32,0.31,100,"Excellent"
"6347","Ireland","Corrib, Corrib Lower","Lake",2007-02-27,0.038,1.4,11.6841033830144,0.025,8.55,11.15,1.422,1.3,93.1956034256321,"Good"
"6348","Ireland","Corrib, Corrib Lower","Lake",2013-02-27,0.038,1.4,7.23825,0.019,8.366666667,17.16666667,1.422,1.3,100,"Excellent"
"6349","Ireland","Corrib, Corrib Lower","Lake",2021-02-27,0.022,1.4,4.34025,0.025,8.383333333,21.76666667,1.422,1.3,100,"Excellent"
"6350","Ireland","Corrib, Corrib Lower","Lake",2011-02-27,0.038,1.4,5.0114999997,0.025,8.333333333,13.93333333,0.5,1.3,100,"Excellent"
"6351","Ireland","Corrib, Corrib Lower","Lake",2011-02-27,0.054,1.4,4.7287500003,0.025,8.116666667,10.31666667,0.75,1.3,100,"Excellent"
"6352","Ireland","Corrib, Corrib Lower","Lake",2014-02-27,0.034166667,1.4,11.6841033830144,0.025,8.15,7.75,1.295,1.3,100,"Excellent"
"6353","Ireland","Corrib, Corrib Lower","Lake",2016-02-29,0.038,1.4,11.6841033830144,0.037,8.066666667,7.55,0.558,0.558,100,"Excellent"
"6354","Ireland","Corrib, Corrib Lower","Lake",2007-02-10,0.0475,1.4,11.6841033830144,0.025,8.1,6.971428571,0.75,1.3,100,"Excellent"
"6355","Ireland","Corrib, Corrib Lower","Lake",2007-02-11,0.038,1.4,4.9203,0.025,8.28,18.18,0.9,1.3,100,"Excellent"
"6356","Ireland","Corrib, Corrib Lower","Lake",2007-02-12,0.038,1.4,5.13225,0.025,8.2,17.95,1.422,1.3,100,"Excellent"
"6357","Ireland","Corrib, Corrib Lower","Lake",2008-02-03,0.038,1.4,11.6841033830144,0.025,8.071428571,15.48571429,1.3,1.3,100,"Excellent"
"6358","Ireland","Corrib, Corrib Lower","Lake",2008-02-03,0.026,1.4,4.9725,0.025,7.9,6.6,0.42,1.3,100,"Excellent"
"6359","Ireland","Corrib, Corrib Lower","Lake",2008-02-04,0.049142857,1.4,5.1506357139,0.025,8.171428571,5.357142857,0.422857143,1.3,100,"Excellent"
"6360","Ireland","Corrib, Corrib Lower","Lake",2008-02-07,0.038,1.4,11.6841033830144,0.025,8.385714286,8.628571429,0.783333333,1.3,100,"Excellent"
"6361","Ireland","Corrib, Corrib Lower","Lake",2008-02-10,0.038,1.4,11.6841033830144,0.025,8.371428571,16.18571429,0.7,1.3,100,"Excellent"
"6362","Ireland","Corrib, Corrib Lower","Lake",2008-02-12,0.038,1.4,11.6841033830144,0.025,8.185714286,7.457142857,0.9,1.3,100,"Excellent"
"6363","Ireland","Corrib, Corrib Lower","Lake",2009-02-02,0.033333333,1.4,5.3241428574,0.025,8.114285714,6.342857143,0.5,1.3,100,"Excellent"
"6364","Ireland","Corrib, Corrib Lower","Lake",2009-02-04,0.038,1.4,11.6841033830144,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"6365","Ireland","Corrib, Corrib Lower","Lake",2009-02-05,0.038,1.4,5.0123571426,0.025,8.271428571,13.12857143,0.7,1.3,100,"Excellent"
"6366","Ireland","Corrib, Corrib Lower","Lake",2009-02-10,0.038,1.4,5.0457857139,0.025,8.171428571,3.928571429,0.866666667,1.3,100,"Excellent"
"6367","Ireland","Corrib, Corrib Lower","Lake",2009-02-10,0.04,1.4,5.6037857139,0.025,8.385714286,15.12857143,0.6,1.3,100,"Excellent"
"6368","Ireland","Corrib, Corrib Lower","Lake",2010-02-06,0.038,1.4,4.779,0.025,8.283333333,11.71666667,1,1.3,100,"Excellent"
"6369","Ireland","Corrib, Corrib Lower","Lake",2010-02-07,0.033333333,1.4,5.1360000003,0.025,8.133333333,1.6,0.7,1.3,100,"Excellent"
"6370","Ireland","Corrib, Corrib Lower","Lake",2010-02-09,0.038,1.4,4.83075,0.025,8.25,5.2,0.5,1.3,100,"Excellent"
"6371","Ireland","Corrib, Corrib Lower","Lake",2010-02-09,0.042,1.4,11.6841033830144,0.025,8.166666667,8.633333333,1.3,1.3,100,"Excellent"
"6372","Ireland","Corrib, Corrib Lower","Lake",2010-02-10,0.038,1.4,4.61475,0.025,8.25,4.1,0.5,1.3,100,"Excellent"
"6373","Ireland","Corrib, Corrib Lower","Lake",2010-02-10,0.038,1.4,11.6841033830144,0.025,8.3,4.5,0.9,1.3,100,"Excellent"
"6374","Ireland","Corrib, Corrib Lower","Lake",2010-02-11,0.03,1.4,4.489875,0.025,8.125,3.8,1.4,1.3,100,"Excellent"
"6375","Ireland","Corrib, Corrib Lower","Lake",2010-02-11,0.038,1.4,5.3264999997,0.025,8.433333333,12.46666667,1.422,1.3,100,"Excellent"
"6376","Ireland","Corrib, Corrib Lower","Lake",2010-02-11,0.038,1.4,4.9725,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"6377","Ireland","Corrib, Corrib Lower","Lake",2010-02-12,0.038,1.4,11.6841033830144,0.025,8.5,11.73333333,1.422,1.3,100,"Excellent"
"6378","Ireland","Corrib, Corrib Lower","Lake",2011-02-07,0.038,1.4,11.6841033830144,0.025,8.3,13.01666667,0.666666667,1.3,100,"Excellent"
"6379","Ireland","Corrib, Corrib Lower","Lake",2012-02-07,0.038,1.4,4.7189999997,0.025,8.4,16.06666667,1.422,1.3,100,"Excellent"
"6380","Ireland","Corrib, Corrib Lower","Lake",2012-02-08,0.03,1.4,11.6841033830144,0.025,8.483333333,18.78333333,1.422,1.3,100,"Excellent"
"6381","Ireland","Corrib, Corrib Lower","Lake",2012-02-11,0.038,1.4,4.9627500003,0.025,8.4,10.11666667,0.8,1.3,100,"Excellent"
"6382","Ireland","Corrib, Corrib Lower","Lake",2012-02-12,0.033333333,1.4,11.6841033830144,0.019,7.916666667,5.183333333,0.85,1.3,100,"Excellent"
"6383","Ireland","Corrib, Corrib Lower","Lake",2013-02-03,0.038,1.4,11.6841033830144,0.025,8.283333333,16.73333333,0.9,1.3,100,"Excellent"
"6384","Ireland","Corrib, Corrib Lower","Lake",2013-02-03,0.0236,1.4,5.0355,0.025,8.166666667,7.833333333,0.554,1.3,100,"Excellent"
"6385","Ireland","Corrib, Corrib Lower","Lake",2013-02-06,0.038,1.4,11.6841033830144,0.025,8.2,5.3,0.68,1.3,100,"Excellent"
"6386","Ireland","Corrib, Corrib Lower","Lake",2013-02-08,0.04,1.4,4.806,0.029,8.05,8.733333333,0.625,1.3,100,"Excellent"
"6387","Ireland","Corrib, Corrib Lower","Lake",2013-02-11,0.03,1.4,11.6841033830144,0.025,8.333333333,7.95,1.422,1.3,100,"Excellent"
"6388","Ireland","Corrib, Corrib Lower","Lake",2014-02-04,0.038,1.4,5.4195000003,0.025,8.4,16.96666667,1.422,1.3,100,"Excellent"
"6389","Ireland","Corrib, Corrib Lower","Lake",2014-02-11,0.038,1.4,11.6841033830144,0.055,7.933333333,4.716666667,0.6325,1.3,93.1789519123298,"Good"
"6390","Ireland","Corrib, Corrib Lower","Lake",2014-02-11,0.038,1.4,11.6841033830144,0.07,8.183333333,8.483333333,0.505,1.3,92.9453685357449,"Good"
"6391","Ireland","Corrib, Corrib Lower","Lake",2014-02-11,0.03275,1.4,4.4955,0.025,8.05,6.9,0.818333333,1.3,100,"Excellent"
"6392","Ireland","Corrib, Corrib Lower","Lake",2015-02-03,0.038,1.4,11.6841033830144,0.025,8.433333333,12.8,0.4375,1.3,100,"Excellent"
"6393","Ireland","Corrib, Corrib Lower","Lake",2015-02-06,0.021,1.4,4.9635,0.025,8.133333333,13.2,0.42,1.3,100,"Excellent"
"6394","Ireland","Corrib, Corrib Lower","Lake",2015-02-08,0.0415,1.4,4.0349999997,0.035,7.666666667,9.433333333,0.732,1.3,100,"Excellent"
"6395","Ireland","Corrib, Corrib Lower","Lake",2015-02-11,0.038,1.4,11.6841033830144,0.025,8.066666667,5.116666667,0.805,1.3,100,"Excellent"
"6396","Ireland","Corrib, Corrib Lower","Lake",2016-02-01,0.1022,1.4,4.761,0.047,7.933333333,4.8,0.8,0.795,100,"Excellent"
"6397","Ireland","Corrib, Corrib Lower","Lake",2016-02-03,0.03175,1.4,11.6841033830144,0.025,8.233333333,10.55,0.69,0.685,100,"Excellent"
"6398","Ireland","Corrib, Corrib Lower","Lake",2016-02-05,0.038,1.4,11.6841033830144,0.025,8.3,11.21666667,0.32,0.32,100,"Excellent"
"6399","Ireland","Corrib, Corrib Lower","Lake",2016-02-07,0.038,1.4,11.6841033830144,0.013,8.033333333,11.15,0.423333333,0.423333333,100,"Excellent"
"6400","Ireland","Corrib, Corrib Lower","Lake",2016-02-07,0.038,1.4,5.18625,0.025,8.383333333,18.25,0.5,0.49,100,"Excellent"
"6401","Ireland","Corrib, Corrib Lower","Lake",2017-02-03,0.038,1.4,11.6841033830144,0.025,8.466666667,13.25,0.275,0.275,100,"Excellent"
"6402","Ireland","Corrib, Corrib Lower","Lake",2017-02-06,0.038,1.4,11.6841033830144,0.025,8.566666667,15.4,1.422,1.3,93.1955577243484,"Good"
"6403","Ireland","Corrib, Corrib Lower","Lake",2017-02-06,0.038,1.4,4.92525,0.025,8.25,16.21666667,0.905,0.905,100,"Excellent"
"6404","Ireland","Corrib, Corrib Lower","Lake",2017-02-09,0.0435,1.4,4.8277500003,0.025,8.216666667,7.85,0.628333333,0.628333333,100,"Excellent"
"6405","Ireland","Corrib, Corrib Lower","Lake",2017-02-09,0.038,1.4,4.905,0.025,8.316666667,16.51666667,0.59,0.59,100,"Excellent"
"6406","Ireland","Corrib, Corrib Lower","Lake",2017-02-11,0.0236,1.4,4.8975000003,0.025,8.116666667,13.21666667,0.3,0.3,100,"Excellent"
"6407","Ireland","Corrib, Corrib Lower","Lake",2017-02-12,0.038,1.4,11.6841033830144,0.025,8.416666667,11.38333333,0.381666667,0.381666667,100,"Excellent"
"6408","Ireland","Corrib, Corrib Lower","Lake",2017-02-12,0.038,1.4,11.6841033830144,0.025,8.533333333,19.8,0.21,0.21,93.1956360854394,"Good"
"6409","Ireland","Corrib, Corrib Lower","Lake",2018-02-02,0.0215,1.4,11.6841033830144,0.025,8.2,12.71666667,0.75,0.74,100,"Excellent"
"6410","Ireland","Corrib, Corrib Lower","Lake",2018-02-03,0.044666667,1.4,5.18625,0.02,8.05,7.85,0.963333333,0.958333333,100,"Excellent"
"6411","Ireland","Corrib, Corrib Lower","Lake",2018-02-04,0.021,1.4,5.08725,0.025,8.266666667,6.966666667,0.341666667,0.341666667,100,"Excellent"
"6412","Ireland","Corrib, Corrib Lower","Lake",2018-02-05,0.0275,1.4,6.2579999997,0.025,8.516666667,21.73333333,0.2,0.2,93.1956556907895,"Good"
"6413","Ireland","Corrib, Corrib Lower","Lake",2018-02-06,0.038,1.4,4.79925,0.018,8.183333333,3.466666667,0.538333333,0.538333333,100,"Excellent"
"6414","Ireland","Corrib, Corrib Lower","Lake",2018-02-08,0.038,1.4,5.3745000003,0.025,8.416666667,14.98333333,0.55,0.55,100,"Excellent"
"6415","Ireland","Corrib, Corrib Lower","Lake",2018-02-10,0.02,1.4,11.6841033830144,0.025,8.316666667,14.78333333,0.43,0.42,100,"Excellent"
"6416","Ireland","Corrib, Corrib Lower","Lake",2019-02-02,0.028666667,1.4,11.6841033830144,0.027,8.15,13.01666667,0.486666667,0.483333333,100,"Excellent"
"6417","Ireland","Corrib, Corrib Lower","Lake",2019-02-03,0.023,1.4,11.6841033830144,0.025,8.8,17.53333333,1.422,1.3,93.1935559667557,"Good"
"6418","Ireland","Corrib, Corrib Lower","Lake",2019-02-04,0.0325,1.4,11.6841033830144,0.012,8.216666667,6.616666667,0.621666667,0.621666667,100,"Excellent"
"6419","Ireland","Corrib, Corrib Lower","Lake",2019-02-07,0.055,1.4,4.9034999997,0.033,8.183333333,18.06666667,1,1,100,"Excellent"
"6420","Ireland","Corrib, Corrib Lower","Lake",2019-02-08,0.036,1.4,5.4307500003,0.025,8.466666667,12.23333333,0.28,0.276666667,100,"Excellent"
"6421","Ireland","Corrib, Corrib Lower","Lake",2019-02-11,0.021,1.4,5.1615,0.025,8.616666667,15.1,0.39,0.39,93.1953425023774,"Good"
"6422","Ireland","Corrib, Corrib Lower","Lake",2019-02-11,0.0272,1.4,11.6841033830144,0.016,8.216666667,14.73333333,0.663333333,0.663333333,100,"Excellent"
"6423","Ireland","Corrib, Corrib Lower","Lake",2019-02-12,0.025,1.4,11.6841033830144,0.014,8.166666667,7.15,1.085,1.081666667,100,"Excellent"
"6424","Ireland","Corrib, Corrib Lower","Lake",2020-02-01,0.025,1.4,4.9740000003,0.025,8.433333333,16.56666667,0.76,0.76,100,"Excellent"
"6425","Ireland","Corrib, Corrib Lower","Lake",2020-02-03,0.032,1.4,4.7895000003,0.024,8.133333333,9.233333333,0.546666667,0.545,100,"Excellent"
"6426","Ireland","Corrib, Corrib Lower","Lake",2020-02-03,0.0392,1.4,4.81275,0.021,8.083333333,7.816666667,0.613333333,0.606666667,100,"Excellent"
"6427","Ireland","Corrib, Corrib Lower","Lake",2020-02-06,0.038,1.4,5.022,0.025,8.2,10.5,0.405,0.405,100,"Excellent"
"6428","Ireland","Corrib, Corrib Lower","Lake",2020-02-08,0.038,1.4,11.6841033830144,0.025,8.433333333,15.48333333,0.35,0.35,100,"Excellent"
"6429","Ireland","Corrib, Corrib Lower","Lake",2020-02-08,0.038,1.4,11.6841033830144,0.017,8.233333333,16.16666667,0.76,0.76,100,"Excellent"
"6430","Ireland","Corrib, Corrib Lower","Lake",2020-02-09,0.038,1.4,11.6841033830144,0.025,8.25,7.033333333,0.531666667,0.53,100,"Excellent"
"6431","Ireland","Corrib, Corrib Lower","Lake",2021-02-02,0.038,1.4,4.96125,0.019,8.083333333,7.133333333,0.598333333,0.596666667,100,"Excellent"
"6432","Ireland","Corrib, Corrib Lower","Lake",2021-02-02,0.027,1.4,11.6841033830144,0.025,8.25,5.966666667,0.465,0.465,100,"Excellent"
"6433","Ireland","Corrib, Corrib Lower","Lake",2021-02-08,0.088166667,1.4,4.6064999997,0.025,8.233333333,5.566666667,0.876666667,0.868333333,100,"Excellent"
"6434","Ireland","Corrib, Corrib Lower","Lake",2021-02-10,0.0245,1.4,4.80825,0.025,8.2,11.08333333,0.288333333,0.288333333,100,"Excellent"
"6435","Ireland","Corrib, Corrib Lower","Lake",2022-02-01,0.038,1.4,5.3565000003,0.025,8.716666667,16.38333333,1.422,1.3,93.1945617186934,"Good"
"6436","Ireland","Corrib, Corrib Lower","Lake",2022-02-05,0.031,1.4,11.6841033830144,0.025,8.35,16.05,1.422,1.3,100,"Excellent"
"6437","Ireland","Corrib, Corrib Lower","Lake",2022-02-06,0.0384,1.4,11.6841033830144,0.025,7.783333333,7.55,0.35,0.343333333,100,"Excellent"
"6438","Ireland","Corrib, Corrib Lower","Lake",2022-02-08,0.038,1.4,11.6841033830144,0.025,7.8,16.4,1.422,1.3,100,"Excellent"
"6439","Ireland","Corrib, Corrib Lower","Lake",2022-02-09,0.038,1.4,4.9515000003,0.025,8.166666667,8.383333333,0.398333333,0.396666667,100,"Excellent"
"6440","Ireland","Corrib, Corrib Lower","Lake",2022-02-09,0.029,1.4,11.6841033830144,0.025,8.183333333,7.7,0.335,0.333333333,100,"Excellent"
"6441","Ireland","Corrib, Corrib Lower","Lake",2022-02-09,0.05,1.4,4.7752499997,0.014,7.966666667,10.63333333,0.4,0.4,100,"Excellent"
"6442","Ireland","Corrib, Corrib Lower","Lake",2022-02-11,0.038,1.4,11.6841033830144,0.025,8.083333333,7.683333333,0.483333333,0.475,100,"Excellent"
"6443","Ireland","Corrib, Corrib Lower","Lake",2022-02-11,0.021666667,1.4,4.95225,0.025,7.716666667,12.16666667,1.422,1.3,100,"Excellent"
"6444","Ireland","Corrib, Corrib Lower","Lake",2023-02-01,0.038,1.4,11.6841033830144,0.025,8.3,18.46666667,1.422,1.3,100,"Excellent"
"6445","Ireland","Corrib, Corrib Lower","Lake",2023-02-03,0.038,1.4,11.6841033830144,0.025,8.2,8.116666667,0.441666667,1.3,100,"Excellent"
"6446","Ireland","Corrib, Corrib Lower","Lake",2023-02-03,0.038,1.4,4.95225,0.025,8.4,17.5,1.422,1.3,100,"Excellent"
"6447","Ireland","Corrib, Corrib Lower","Lake",2023-02-04,0.038,1.4,5.3235,0.025,8.3,13.3,0.6,1.3,100,"Excellent"
"6448","Ireland","Corrib, Corrib Lower","Lake",2023-02-06,0.038,1.4,11.6841033830144,0.012,8.1,8.9,0.68,1.3,100,"Excellent"
"6449","Ireland","Corrib, Corrib Upper","Lake",2018-02-13,0.038,1.4,5.045625,0.025,8.35,6.9125,0.34,0.33875,100,"Excellent"
"6450","Ireland","Corrib, Corrib Upper","Lake",2022-02-13,0.038,1.4,4.9005,0.025,8.2625,9.5,0.39375,0.39125,100,"Excellent"
"6451","Ireland","Corrib, Corrib Upper","Lake",2014-02-13,0.038,1.4,4.9730625,0.025,8.2625,12.5875,0.3125,1.3,100,"Excellent"
"6452","Ireland","Corrib, Corrib Upper","Lake",2015-02-13,0.038,1.4,4.9471875,0.025,8.2125,11.475,0.2875,1.3,100,"Excellent"
"6453","Ireland","Corrib, Corrib Upper","Lake",2009-02-13,0.038,1.4,5.0904,0.025,8.18,17.28,1.422,1.3,100,"Excellent"
"6454","Ireland","Corrib, Corrib Upper","Lake",2022-02-13,0.0294,1.4,5.4770625,0.025,8.375,19.325,0.27625,1.3,100,"Excellent"
"6455","Ireland","Corrib, Corrib Upper","Lake",2014-02-13,0.038,1.4,4.91175,0.025,8.3125,17.55,0.216,1.3,100,"Excellent"
"6456","Ireland","Corrib, Corrib Upper","Lake",2017-02-13,0.0375,1.4,4.9460625,0.025,8.05,7.675,0.265714286,0.261428571,100,"Excellent"
"6457","Ireland","Corrib, Corrib Upper","Lake",2021-02-14,0.038,1.4,5.2554375,0.01,8.15,5.8375,0.3375,0.3375,100,"Excellent"
"6458","Ireland","Corrib, Corrib Upper","Lake",2017-02-14,0.05375,1.4,5.1800625,0.025,8.15,9.05,0.315714286,0.314285714,100,"Excellent"
"6459","Ireland","Corrib, Corrib Upper","Lake",2010-02-14,0.038,1.4,4.541625,0.025,8.1875,10.25,1.422,1.3,100,"Excellent"
"6460","Ireland","Corrib, Corrib Upper","Lake",2021-02-14,0.038,1.4,11.6841033830144,0.025,8.3,9.766666667,0.256,0.2675,100,"Excellent"
"6461","Ireland","Corrib, Corrib Upper","Lake",2013-02-14,0.038,1.4,11.6841033830144,0.025,8.1875,10.8625,1.422,1.3,100,"Excellent"
"6462","Ireland","Corrib, Corrib Upper","Lake",2020-02-14,0.021,1.4,5.0821875,0.025,8.15,12.5625,0.39375,0.39375,100,"Excellent"
"6463","Ireland","Corrib, Corrib Upper","Lake",2009-02-14,0.038,1.4,5.1080625,0.025,8.1375,17.6875,0.5,1.3,100,"Excellent"
"6464","Ireland","Corrib, Corrib Upper","Lake",2010-02-14,0.038,1.4,4.9095,0.025,8.225,17.0625,1.422,1.3,100,"Excellent"
"6465","Ireland","Corrib, Corrib Upper","Lake",2007-02-14,0.038,1.4,4.896,0.025,8.1,10.85,1.422,1.3,100,"Excellent"
"6466","Ireland","Corrib, Corrib Upper","Lake",2011-02-14,0.03,1.4,11.6841033830144,0.025,7.8375,4.65,0.45,1.3,100,"Excellent"
"6467","Ireland","Corrib, Corrib Upper","Lake",2010-02-15,0.03,1.4,11.6841033830144,0.025,8.325,16.9,1.422,1.3,100,"Excellent"
"6468","Ireland","Corrib, Corrib Upper","Lake",2022-02-15,0.038,1.4,5.1946875,0.025,8.3125,16.35,1.422,1.3,100,"Excellent"
"6469","Ireland","Corrib, Corrib Upper","Lake",2007-02-15,0.020555556,1.4,4.6548,0.025,7.981818182,11.72727273,0.22,1.3,100,"Excellent"
"6470","Ireland","Corrib, Corrib Upper","Lake",2019-02-16,0.038,1.4,11.6841033830144,0.025,8.0875,7.85,0.36875,0.36875,100,"Excellent"
"6471","Ireland","Corrib, Corrib Upper","Lake",2015-02-16,0.038,1.4,4.7986875,0.025,8.225,14.4,0.275,1.3,100,"Excellent"
"6472","Ireland","Corrib, Corrib Upper","Lake",2021-02-16,0.038,1.4,4.485375,0.025,8.1875,17.4,0.23,0.23,100,"Excellent"
"6473","Ireland","Corrib, Corrib Upper","Lake",2012-02-16,0.05,1.4,11.6841033830144,0.025,8.1,10.3125,1.422,1.3,100,"Excellent"
"6474","Ireland","Corrib, Corrib Upper","Lake",2014-02-16,0.02,1.4,4.752,0.025,8.2125,13.1125,0.214,1.3,100,"Excellent"
"6475","Ireland","Corrib, Corrib Upper","Lake",2016-02-17,0.038,1.4,4.9708125,0.025,7.9375,6.025,0.3125,0.3125,100,"Excellent"
"6476","Ireland","Corrib, Corrib Upper","Lake",2008-02-17,0.038,1.4,5.0895,0.025,8.290909091,15.39090909,0.4,1.3,100,"Excellent"
"6477","Ireland","Corrib, Corrib Upper","Lake",2014-02-17,0.02,1.4,5.21775,0.025,8.325,18.1375,0.3025,1.3,100,"Excellent"
"6478","Ireland","Corrib, Corrib Upper","Lake",2022-02-17,0.021,1.4,4.923,0.025,8.35,18.725,0.24,0.24,100,"Excellent"
"6479","Ireland","Corrib, Corrib Upper","Lake",2016-02-17,0.038,1.4,11.6841033830144,0.025,8.1625,12.725,0.262857143,0.262857143,100,"Excellent"
"6480","Ireland","Corrib, Corrib Upper","Lake",2015-02-17,0.038,1.4,4.9725,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"6481","Ireland","Corrib, Corrib Upper","Lake",2008-02-18,0.038,1.4,5.2245,0.025,8.4,15.15,1.422,1.3,100,"Excellent"
"6482","Ireland","Corrib, Corrib Upper","Lake",2010-02-18,0.038,1.4,11.6841033830144,0.025,8.3,17.125,1.422,1.3,100,"Excellent"
"6483","Ireland","Corrib, Corrib Upper","Lake",2015-02-18,0.023,1.4,11.6841033830144,0.025,7.8125,11.0375,0.278571429,1.3,100,"Excellent"
"6484","Ireland","Corrib, Corrib Upper","Lake",2012-02-19,0.04,1.4,4.935375,0.025,8.2875,15.7,1.422,1.3,100,"Excellent"
"6485","Ireland","Corrib, Corrib Upper","Lake",2018-02-19,0.038,1.4,11.6841033830144,0.034,8.4125,18.3875,0.2,0.2,100,"Excellent"
"6486","Ireland","Corrib, Corrib Upper","Lake",2008-02-19,0.038,1.4,11.6841033830144,0.025,8.075,16.80909091,0.5,1.3,100,"Excellent"
"6487","Ireland","Corrib, Corrib Upper","Lake",2010-02-20,0.038,1.4,4.6107692307,0.025,8.123076923,4.223076923,1.422,1.3,100,"Excellent"
"6488","Ireland","Corrib, Corrib Upper","Lake",2020-02-20,0.038,1.4,4.969125,0.025,8.1625,6.1875,0.34375,0.34,100,"Excellent"
"6489","Ireland","Corrib, Corrib Upper","Lake",2013-02-20,0.038,1.4,11.6841033830144,0.025,8.1125,5.925,0.6,1.3,100,"Excellent"
"6490","Ireland","Corrib, Corrib Upper","Lake",2009-02-20,0.038,1.4,5.2146,0.025,8.1,11.74,1.422,1.3,100,"Excellent"
"6491","Ireland","Corrib, Corrib Upper","Lake",2016-02-20,0.038,1.4,11.6841033830144,0.025,8.15,18.1625,0.21,0.208,100,"Excellent"
"6492","Ireland","Corrib, Corrib Upper","Lake",2008-02-20,0.038,1.4,11.6841033830144,0.025,8.1,16.4,1.422,1.3,100,"Excellent"
"6493","Ireland","Corrib, Corrib Upper","Lake",2018-02-20,0.027,1.4,5.1238125,0.025,8.3125,17.25,1.422,1.3,100,"Excellent"
"6494","Ireland","Corrib, Corrib Upper","Lake",2013-02-20,0.02,1.4,4.9545,0.025,8.1875,8.8625,1.422,1.3,100,"Excellent"
"6495","Ireland","Corrib, Corrib Upper","Lake",2009-02-21,0.038,1.4,11.6841033830144,0.025,8.025,11.65,0.4,1.3,100,"Excellent"
"6496","Ireland","Corrib, Corrib Upper","Lake",2011-02-21,0.038,1.4,4.8560625,0.025,8.2875,15.65,1.422,1.3,100,"Excellent"
"6497","Ireland","Corrib, Corrib Upper","Lake",2007-02-21,0.038,1.4,11.6841033830144,0.025,8.3,15.23333333,1,1.3,100,"Excellent"
"6498","Ireland","Corrib, Corrib Upper","Lake",2013-02-21,0.038,1.4,11.6841033830144,0.025,7.8,11.15,1.422,1.3,100,"Excellent"
"6499","Ireland","Corrib, Corrib Upper","Lake",2009-02-21,0.038,1.4,11.6841033830144,0.025,8.1,14.5,1.422,1.3,100,"Excellent"
"6500","Ireland","Corrib, Corrib Upper","Lake",2010-02-21,0.038,1.4,11.6841033830144,0.025,8.2625,15.95,1.422,1.3,100,"Excellent"
"6501","Ireland","Corrib, Corrib Upper","Lake",2008-02-21,0.038,1.4,5.2589999997,0.025,8,12.2,1.422,1.3,100,"Excellent"
"6502","Ireland","Corrib, Corrib Upper","Lake",2014-02-22,0.038,1.4,4.851,0.025,8,6.0375,0.481428571,1.3,100,"Excellent"
"6503","Ireland","Corrib, Corrib Upper","Lake",2015-02-22,0.038,1.4,4.969125,0.025,8.1,5.05,0.375,1.3,100,"Excellent"
"6504","Ireland","Corrib, Corrib Upper","Lake",2011-02-22,0.038,1.4,11.6841033830144,0.025,8.06,6.12,0.5,1.3,100,"Excellent"
"6505","Ireland","Corrib, Corrib Upper","Lake",2015-02-22,0.038,1.4,11.6841033830144,0.025,8.15,15.775,0.275,1.3,100,"Excellent"
